2021 HazMat Low Risk call types-,2021 Haz Mat Moderate Risk call types-,2021 Haz Mat High Risk call types-
Call Types,Call Types,Call Types
FFCM,FFAA,FFAB
FFGL,FFAB,FFBS
FFSP,FFAL,FFCP
FFSS,FFCL,FFCS
,FFCM,FFHV
,FFCS,FFLB
,FFGL,FFPI
,FFHV,FFSH
,FFLB,FFSP
,FFPI,FFTR
,FFSC,FFTS
,FFSH,
,FFSP,
,FFSS,
,FFTR,
,FFTS,
,,
Units,Units,Units
1 Engine OR,1 Engine OR,1 Engine OR
1 Ladder,1 Ladder,1 Ladder
1 Haz Mat Truck,2 Haz Mat Trucks,2 Haz Mat Trucks
,1 Ambulance OR,1 Haz Mat Foam
,1 Medic,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
